#S 2  zapline mono 16.3912 14.118 2709 100 
#D Wed Sep 25 11:09:41 2024
energy_offset(keV) muT mon_2 ion_1_1
7.13413 -0.024054681445837833 22482.7 23030.1
7.13463 -0.02931913922297045 22473.1 23141.8
7.13513 -0.03340427830067528 22480.0 23243.7
7.13563 -0.036555033634634124 22483.5 23320.6
7.13613 -0.03832125813404915 22490.3 23368.9
7.13663 -0.039131772567250214 22492.0 23389.6
7.13713 -0.038821089517828825 22497.9 23388.5
7.13763 -0.03805139963711591 22495.2 23367.7
7.13813 -0.03629798256040373 22490.8 23322.1
7.13863 -0.03413709730654359 22493.0 23274.1
7.13913 -0.032042134936306574 22497.5 23230.0
7.13963 -0.03022243796901937 22498.9 23189.3
7.14013 -0.028685765345087474 22501.4 23156.3
7.14063 -0.02742109639935148 22508.9 23134.7
7.14113 -0.027096317991535314 22504.2 23122.3
7.14163 -0.027704415169506516 22505.6 23137.9
7.14213 -0.028914107708752156 22520.2 23180.9
7.14263 -0.030059875952037955 22514.4 23201.4
7.14313 -0.03162198780584186 22520.7 23244.3
7.14363 -0.0328292869542716 22527.9 23279.8
7.14413 -0.03348009380943151 22528.8 23295.8
7.14463 -0.033964954941057834 22506.2 23283.7
7.14513 -0.033505330654488116 22536.2 23304.1
7.14563 -0.03284981747521404 22534.3 23286.8
7.14613 -0.031155992751878532 22541.2 23254.5
7.14663 -0.028417060246287495 22542.9 23192.7
7.14713 -0.025776677454493763 22536.4 23124.9
7.14763 -0.023102187370503877 22540.9 23067.7
7.14813 -0.020544510801437696 22539.0 23006.9
7.14863 -0.018010671946883435 22553.3 22963.2
7.14913 -0.015798909992662844 22551.1 22910.2
7.14963 -0.014452684148935642 22544.3 22872.5
7.15013 -0.013238489687991958 22554.8 22855.4
7.15063 -0.012406020778628651 22553.4 22835.0
7.15113 -0.01207340492736544 22550.9 22824.8
7.15163 -0.011931497787909038 22541.6 22812.1
7.15213 -0.011363132716313071 22547.7 22805.3
7.15263 -0.010979925928675605 22551.0 22800.0
